Jogador,Partidas_Jogadas,Playing Time_Min,Performance_Gls,Performance_Ast,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_xAG
Rafael Pires,26.0,2340.0,0.0,0.0,2.0,0.0,0.0,0.0
Alan Franco,21.0,1634.0,0.0,0.0,5.0,0.0,1.0,0.4
Alisson,23.0,1718.0,0.0,1.0,4.0,0.0,1.0,0.6
Cédric Soares,22.0,1643.0,0.0,2.0,1.0,0.0,0.2,2.1
José Sabino,22.0,1579.0,1.0,0.0,2.0,0.0,1.5,0.3
Luciano,24.0,1516.0,6.0,3.0,8.0,0.0,8.4,2.2
Marcos Antônio,20.0,1342.0,0.0,3.0,4.0,0.0,0.3,2.4
Enzo Díaz,23.0,1517.0,0.0,5.0,7.0,0.0,0.3,5.0
Robert Arboleda,17.0,1459.0,3.0,0.0,3.0,0.0,1.6,0.0
Nahuel Ferraresi,18.0,1403.0,0.0,3.0,2.0,0.0,0.2,2.2
André Silva,20.0,1357.0,5.0,2.0,5.0,0.0,4.5,2.6
Damián Bobadilla,22.0,1415.0,2.0,1.0,4.0,0.0,1.7,0.9
Ferreira,20.0,1102.0,4.0,2.0,3.0,0.0,4.1,1.8
Wendell,16.0,838.0,0.0,1.0,0.0,0.0,0.3,0.9
Pablo Maia,16.0,889.0,1.0,0.0,3.0,0.0,0.2,0.2
Lucas Ferreira,13.0,761.0,0.0,0.0,1.0,0.0,1.1,0.6
Rodrigo,18.0,724.0,0.0,0.0,5.0,0.0,1.2,0.5
Gonzalo Tapia,10.0,485.0,4.0,0.0,4.0,0.0,2.8,0.1
Oscar,6.0,345.0,0.0,0.0,1.0,0.0,0.6,0.6
Matheus Alves,8.0,371.0,0.0,1.0,3.0,0.0,0.3,0.7
Ruan,5.0,361.0,0.0,0.0,1.0,0.0,0.0,0.0
Juan Ignacio Dinenno,7.0,262.0,1.0,0.0,2.0,0.0,1.0,0.1
Rafael Tolói,3.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
Patryck,4.0,264.0,0.0,0.0,1.0,0.0,0.3,0.1
Mailton dos Santos,4.0,224.0,0.0,0.0,1.0,0.0,0.0,0.2
Ryan Francisco,8.0,205.0,2.0,0.0,0.0,0.0,0.5,0.2
Luiz Gustavo,3.0,204.0,0.0,0.0,0.0,0.0,0.2,0.0
Maik,2.0,180.0,1.0,0.0,2.0,0.0,0.2,0.2
Felipe Negrucci,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
Young,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
Player,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luan Silva,6.0,173.0,0.0,0.0,0.0,0.0,0.7,0.3
Igor Vinícius de Souza,3.0,164.0,0.0,0.0,1.0,0.0,0.2,0.1
Jonathan Calleri,3.0,121.0,0.0,0.0,0.0,1.0,0.9,0.1
Lucca Marques,4.0,141.0,0.0,0.0,0.0,0.0,0.1,0.0
Emiliano Rigoni,4.0,110.0,0.0,0.0,1.0,1.0,0.6,0.1
Lucas Moura,6.0,184.0,1.0,0.0,0.0,0.0,0.3,0.3
Henrique,3.0,43.0,0.0,1.0,0.0,0.0,0.0,0.5
Igor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jandrei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leandro Mathias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedrinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Preis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulo Sérgio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
