Jogador,Minutos,Gols,Assistencias,Cartoes_Amarelos,Cartoes_Vermelhos
Robert Arboleda,180.0,0.0,0.0,0.0,0.0
Enzo Díaz,180.0,0.0,1.0,0.0,0.0
Rafael Pires,180.0,0.0,0.0,0.0,0.0
José Sabino,180.0,0.0,0.0,0.0,0.0
Jonathan Calleri,179.0,1.0,0.0,0.0,0.0
Danielzinho,175.0,1.0,0.0,0.0,0.0
Damián Bobadilla,173.0,0.0,0.0,0.0,0.0
Maik,168.0,0.0,0.0,0.0,0.0
Alan Franco,150.0,0.0,0.0,1.0,0.0
Marcos Antônio,119.0,0.0,0.0,0.0,0.0
Luciano,115.0,1.0,0.0,0.0,0.0
Pablo Maia,66.0,0.0,0.0,0.0,0.0
Gonzalo Tapia,61.0,0.0,0.0,0.0,0.0
Lucas Moura,35.0,0.0,1.0,0.0,0.0
Cédric Soares,11.0,0.0,0.0,0.0,0.0
Luan Silva,7.0,0.0,0.0,0.0,0.0
Nahuel Ferraresi,1.0,0.0,0.0,0.0,0.0
Carlos Coronel,0.0,0.0,0.0,0.0,0.0
Dória,0.0,0.0,0.0,0.0,0.0
Ferreira,0.0,0.0,0.0,0.0,0.0
Lucca Marques,0.0,0.0,0.0,0.0,0.0
Pedrinho,0.0,0.0,0.0,0.0,0.0
Rafael Tolói,0.0,0.0,0.0,0.0,0.0
Wendell,0.0,0.0,0.0,0.0,0.0
